               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                 108,             0.10101,             0.17853,            0.015091,             0.14134,             0.65107,             0.24492,             0.23216,            0.084888,            0.098267,             0.17838,            0.016885,              0.1436,           0.0055611,           0.0055611,           0.0055611
                 109,            0.099806,             0.18233,            0.016749,             0.14316,             0.58634,             0.26121,             0.25247,            0.087904,            0.099335,              0.1804,            0.016702,             0.14277,           0.0054987,           0.0054987,           0.0054987
                 110,            0.099374,             0.18135,            0.016694,             0.14261,             0.65594,             0.25605,             0.25407,             0.10012,            0.098714,             0.17807,            0.016801,             0.14398,           0.0054364,           0.0054364,           0.0054364
                 111,            0.099178,             0.17597,            0.014512,             0.14143,             0.58479,             0.26322,             0.25738,            0.092247,            0.098213,             0.17527,            0.019187,             0.14239,           0.0053743,           0.0053743,           0.0053743
                 112,            0.099263,             0.18225,            0.015303,             0.14092,             0.67101,             0.25508,             0.26291,            0.095968,            0.098482,             0.17678,            0.016949,             0.14215,           0.0053123,           0.0053123,           0.0053123
                 113,            0.098184,             0.18185,            0.014897,             0.13983,             0.68427,             0.25745,              0.2674,            0.098298,            0.098742,               0.177,            0.016091,             0.14201,           0.0052505,           0.0052505,           0.0052505
                 114,                 0.1,             0.17917,            0.013931,             0.14084,             0.61623,             0.25718,             0.25914,             0.10069,            0.097343,              0.1776,             0.01758,             0.14189,           0.0051889,           0.0051889,           0.0051889
                 115,            0.098505,             0.17312,            0.016369,             0.14102,             0.67252,             0.26762,             0.26869,             0.10733,            0.097185,             0.17398,            0.015938,             0.14171,           0.0051274,           0.0051274,           0.0051274
                 116,            0.098838,             0.18381,            0.015123,             0.13952,             0.78205,             0.23272,              0.2584,            0.097126,            0.098111,             0.17485,            0.018678,             0.14138,           0.0050662,           0.0050662,           0.0050662
                 117,            0.099041,             0.20348,            0.014304,             0.13962,             0.67066,             0.21111,             0.22187,            0.075826,             0.10007,             0.18076,            0.016607,             0.13947,           0.0050052,           0.0050052,           0.0050052
                 118,            0.099004,             0.18433,             0.01468,             0.13907,             0.73633,             0.25023,             0.25214,            0.094869,            0.098116,             0.17521,            0.016353,             0.14043,           0.0049445,           0.0049445,           0.0049445
                 119,            0.098567,              0.1814,            0.015908,              0.1394,             0.72273,             0.28649,              0.2812,             0.10504,            0.098211,             0.17691,             0.01639,             0.14047,            0.004884,            0.004884,            0.004884
                 120,             0.10018,             0.18515,            0.014346,             0.13953,             0.69383,             0.29663,             0.28802,             0.11054,            0.096886,             0.17792,             0.01647,             0.13892,           0.0048238,           0.0048238,           0.0048238
                 121,             0.09975,             0.19088,             0.01393,             0.13872,             0.75653,             0.26011,             0.27179,             0.10269,             0.09784,             0.17667,            0.016147,             0.13874,           0.0047639,           0.0047639,           0.0047639
                 122,             0.10133,             0.19611,            0.014619,             0.13922,             0.66593,             0.26937,             0.26096,             0.09994,            0.098357,             0.17583,            0.015445,             0.13877,           0.0047043,           0.0047043,           0.0047043
                 123,            0.095165,             0.17922,            0.014029,             0.13704,             0.68603,             0.27718,             0.29214,             0.11328,            0.097918,             0.17407,            0.014564,             0.13932,            0.004645,            0.004645,            0.004645
                 124,            0.097004,             0.18271,            0.014427,             0.13746,             0.73442,             0.25857,             0.29205,             0.11788,            0.097048,              0.1753,            0.017686,             0.14137,           0.0045861,           0.0045861,           0.0045861
                 125,            0.097801,             0.16618,            0.014165,             0.13704,             0.59842,             0.26111,             0.26179,             0.10323,            0.099306,             0.17444,            0.017208,             0.13961,           0.0045275,           0.0045275,           0.0045275
                 126,            0.096984,             0.17386,            0.013877,             0.13754,              0.5951,             0.27632,             0.26369,             0.10485,            0.097634,             0.17585,            0.015873,             0.13871,           0.0044693,           0.0044693,           0.0044693
                 127,             0.09814,             0.19182,            0.015509,              0.1393,              0.6217,             0.28846,             0.28072,             0.11154,            0.097776,             0.18857,            0.017022,             0.13833,           0.0044114,           0.0044114,           0.0044114
                 128,            0.096738,             0.16421,            0.016006,             0.13741,             0.64234,             0.28706,             0.28919,             0.11806,            0.097673,             0.17794,            0.015858,             0.13878,           0.0043539,           0.0043539,           0.0043539
                 129,            0.099448,             0.19326,            0.013895,             0.13726,             0.60376,              0.2901,              0.2824,              0.1168,            0.095818,             0.17783,            0.015399,             0.13697,           0.0042969,           0.0042969,           0.0042969
                 130,            0.096465,             0.17349,            0.015352,             0.13773,             0.68277,             0.25055,             0.25958,             0.09703,            0.098037,             0.17781,            0.016146,             0.13675,           0.0042402,           0.0042402,           0.0042402
                 131,             0.09851,             0.18385,            0.014224,             0.13743,             0.67878,             0.25773,             0.26812,            0.099526,            0.097641,              0.1761,            0.016181,             0.13734,            0.004184,            0.004184,            0.004184
                 132,            0.097164,             0.15763,            0.015067,             0.13795,             0.60644,              0.2735,             0.27528,             0.10708,            0.096892,             0.17371,            0.015169,             0.13747,           0.0041283,           0.0041283,           0.0041283
                 133,            0.095158,             0.16843,            0.013811,             0.13751,             0.63636,             0.29674,             0.29611,             0.12598,             0.09668,             0.17472,            0.016865,             0.13693,            0.004073,            0.004073,            0.004073
                 134,            0.096645,             0.17156,            0.013272,             0.13502,             0.70684,             0.28891,             0.29726,             0.11891,            0.098087,             0.17271,            0.015632,             0.13705,           0.0040182,           0.0040182,           0.0040182
                 135,            0.098622,             0.18574,            0.013116,              0.1355,             0.71738,             0.28103,             0.30229,             0.12586,            0.096599,             0.17434,            0.014895,             0.13711,           0.0039638,           0.0039638,           0.0039638
